law_id,law_name,domain_code,law_type_code,ministry_name
70d98b1d-3741-4a02-8799-8afa0d8325b0,유해화학물질 보관시설 설치 및 관리에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
b9e482e2-66ec-49a6-87b1-f1d98216f143,유해화학물질 사외배관 이송시설 설치 및 관리에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
997e4c24-afee-4bb7-b33d-be0243e7f3d3,유해화학물질 소량 취급시설에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
0efcdbb1-b923-498a-b417-a44f3ac909a5,유해화학물질 시약 등 택배 안전용기 및 포장 등에 관한 규정,CHEMICAL,NOTICE,화학물질안전원
e24a20ee-eea6-4316-831f-0044ed73d222,유해화학물질 안전교육 전문기관 지정 및 운영 등에 관한 규정,CHEMICAL,NOTICE,화학물질안전원
caa97ce9-4b8a-4a3e-84e9-07802a374da9,유해화학물질 안전교육 전문기관의 지정,CHEMICAL,NOTICE,화학물질안전원
b92a7b47-73c1-4824-8b95-6ea287814b70,유해화학물질 안전교육경비,CHEMICAL,NOTICE,기후에너지환경부
84ed3780-70b0-49a1-8ac0-898b56f80f72,유해화학물질 안전교육과 유사하다고 인정하는 교육에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
0a2ad7ca-8d24-4464-a11e-e117ca58e0b5,유해화학물질 예외적 사용 수산부산물 재활용시 환경오염방지 기준에 관한 고시,CHEMICAL,NOTICE,해양수산부
cb3eaa9c-4f6f-4b85-971d-592832729f9b,유해화학물질 운반용기 관리 등에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
d6e44465-78f9-4386-99af-c1ede1e4c850,유해화학물질 운반용기 사용연장검사에 관한 세부지침,CHEMICAL,NOTICE,화학물질안전원
37f7cc98-6127-4c93-8c6f-5fb5535ac9e6,유해화학물질 제조·사용·저장시설 설치 및 관리에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
af4de04c-5093-42ba-acff-49cb1135ea83,유해화학물질 차량 운반시설 설치 및 관리에 관한 고시,CHEMICAL,NOTICE,화학물질안전원
