atom_id,mapped_field,repo_law_name,joined_law_name,law_article,runtime_law_name,rca_class,label_correct
2fa3c8e3-7490-55ce-8c95-9542676ff54c,has_forklift,,산업안전보건기준에 관한 규칙,182,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
303b02e1-e853-5912-b38a-b00ad9c117af,has_excavation,,산업안전보건기준에 관한 규칙,344,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
3085ff45-4601-5a3e-9dfb-da998e6371fb,has_elevator,,산업안전보건기준에 관한 규칙,151,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
319cf065-e615-52f9-824a-df049f5a44f0,has_hazardous_material,,산업안전보건기준에 관한 규칙,433,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
31f021e1-49a2-5ff2-80ae-b258d29e7d85,has_diving,,산업안전보건기준에 관한 규칙,552,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
32d4a3f4-accf-541c-9ccc-a3b683cc40e6,has_excavation,,산업안전보건기준에 관한 규칙,342,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
334dd3e9-0903-5c81-a165-293d8bc7fd80,has_hazardous_material,,산업안전보건기준에 관한 규칙,446,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
338d7c90-77ba-52c3-b7e6-8eb2cd5c3866,has_concrete_work,,산업안전보건기준에 관한 규칙,335,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
33c49f8f-e40f-54b9-8f82-46dfa0706ae5,has_hazardous_material,,산업안전보건기준에 관한 규칙,457,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
34f85217-9138-5c96-b51c-ccc8fc663da6,has_welding,,산업안전보건기준에 관한 규칙,306,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
35ec571a-3bd2-5b35-8f6d-8ddcad9cae09,has_forklift,,산업안전보건기준에 관한 규칙,180,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
363d24b7-a2e1-5f4e-a55b-2b96679fbc32,has_confined_space,,산업안전보건기준에 관한 규칙,301,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
37c0610e-e441-5f0c-a343-57934c7b2ea1,has_confined_space,,산업안전보건기준에 관한 규칙,622,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
37e6a05e-2ef4-5ac3-bf17-8811889bcf49,has_concrete_work,,산업안전보건기준에 관한 규칙,334,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
38c8d472-6654-5570-8253-aafbc70bce07,has_elevator,,산업안전보건기준에 관한 규칙,152,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
3c8a09fa-c9e7-5e64-b2d4-4d27be9b4091,has_subcontractor,,건설산업기본법,38,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_INCORRECT,NO
3cba4975-b5f5-5b12-a535-66d2737895ef,has_hazardous_material,,산업안전보건기준에 관한 규칙,506,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
3d85c0bb-85f9-51cc-8090-5baf3d9948ea,has_elevator,승강기법,승강기법,31,승강기법,NONBLANK_INHERITED,YES(short_form)
3e74c268-dfc0-5426-b1db-191e7d2bcd85,has_hazardous_material,,산업안전보건기준에 관한 규칙,451,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
3f516bae-6fc3-528d-ab7b-e7a12362b14b,has_radiation,,산업안전보건기준에 관한 규칙,579,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
3faf1cad-d998-59da-8925-345c2b06bdb7,has_radiation,,산업안전보건기준에 관한 규칙,575,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
41d2423c-456a-5604-a2a8-12f8b2f82080,has_diving,,산업안전보건기준에 관한 규칙,535,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
42534b05-d3b1-56f3-bb2e-b3e8071ba7a9,has_welding,,산업안전보건기준에 관한 규칙,294,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
440d4db1-232c-50b7-8971-6409629728e0,has_crane,,산업안전보건기준에 관한 규칙,144,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
44373434-72dd-502d-8ad4-fb7672a7fc58,has_conveyor,,산업안전보건기준에 관한 규칙,192,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
44b2d064-d1f1-52a8-9c2a-ccbcc17ac3bc,has_crane,,산업안전보건기준에 관한 규칙,139,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
44e26c72-4397-5592-9dd4-5005e51ef221,has_concrete_work,,산업안전보건기준에 관한 규칙,333,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
450da32a-c7f3-571b-8c66-45a2c204b30b,has_excavation,,산업안전보건기준에 관한 규칙,377,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
45933ee2-6543-5b8e-98b9-7efe0c605290,has_elevator,승강기법,승강기법,32,승강기법,NONBLANK_INHERITED,YES(short_form)
4594b613-0d20-54a7-b66f-7aba176dc7b4,has_conveyor,,산업안전보건기준에 관한 규칙,194,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
465df879-b297-5cfc-ba55-2a72d097269f,has_hazardous_material,,산업안전보건기준에 관한 규칙,436,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
46924c56-0230-57ff-8faf-980aaa819bf4,has_confined_space,,산업안전보건기준에 관한 규칙,636,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
46a22f0c-a237-581a-b61d-c5c89262ad76,has_dust_work,,산업안전보건기준에 관한 규칙,670,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
46c2d850-1004-56b7-9de6-9e9e9dcf11fc,has_hazardous_material,,산업안전보건기준에 관한 규칙,432,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
4710d734-c7dd-5ee0-a468-f550dfbcfdbe,has_asbestos,,산업안전보건기준에 관한 규칙,493,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
47a1677e-0c73-51d6-bcc8-41bb60e434ea,has_hazardous_material,,산업안전보건기준에 관한 규칙,505,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
47b2c64e-1d6c-55d2-a1eb-b4c30e9234ca,has_pile_work,,산업안전보건기준에 관한 규칙,211,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
480d040c-c133-5e90-bff4-bdd091de4ca0,has_grinding,,산업안전보건기준에 관한 규칙,122,산업안전보건기준에 관한 규칙,BLANK_DEFAULT_CORRECT,YES
